famille,activitesprincipales,tailleentreprisesquirecrutent
Etudes Marketing et Opinion,"Identifier les besoins et la problématique des directions métiers,Définir une modélisation statistique qui permette de répondre à la problématique,Construire des outils d'analyse pour collecter les données de l'entreprise.,Sourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l'analyse et pertinentes,Organiser, étudier et synthétiser ces sources de données sour forme de résultats exploitables,Modéliser les comportements et en extraire de nouveaux usages utilisateurs,Proposer des modes de collecte et traitements,Participer à la proposition de stratégies ou préconisations client,Mettre en valeur, diffuser et vulgariser la donnée pour le client et son équipe","[{'name': '1-9 salariés', 'value': 3}, {'name': '10-49 salariés', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Administration et Finances,"Analyser et cartographier les risques,Définir la politique de risque de l'entreprise,Définir et optimiser le dispositif de gestion de risques et l'adapter en permanence suivant les évolutions du profil de risques de l'entreprise,Déployer les plans de prévention et suivre leurs réalisations,Gérer les assurances (achats, relations avec les courtiers, gestion des sinistres),Piloter son activité (documentation de référence, animation, audit, reporting","[{'name': 'sans salariés', 'value': 5}, {'name': '1-9 salariés', 'value': 33}, {'name': '10-49 salariés', 'value': 16}, {'name': '50 salariés et plus', 'value': 13}, {'name': '250 salariés et plus', 'value': 24}, {'name': 'non renseigné', 'value': 12}]"
Etudes Marketing et Opinion,"Identifier les besoins et la problématique des directions métiers,Définir une modélisation statistique qui permette de répondre à la problématique,Construire des outils d'analyse pour collecter les données de l'entreprise.,Sourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l'analyse et pertinentes,Organiser, étudier et synthétiser ces sources de données sour forme de résultats exploitables,Modéliser les comportements et en extraire de nouveaux usages utilisateurs,Proposer des modes de collecte et traitements,Participer à la proposition de stratégies ou préconisations client,Mettre en valeur, diffuser et vulgariser la donnée pour le client et son équipe","[{'name': '1-9 salariés', 'value': 3}, {'name': '10-49 salariés', 'value': 1}, {'name': 'non renseigné', 'value': 1}]"
Ressources Humaines,"Elaborer et mettre en oeuvre la stratégie du Knowledge Management de l'entreprise. ,Evaluer et cartographier les savoirs et connaissances de l'entreprise,Identifier les outils répondant aux besoins de l'entreprise, définir les fonctionnalités attendues et procéder à leur déploiement,Promouvoir le partage, l'échange et l'intégration des connaissances en renforçant le lien entre les processus de partage et les systèmes d'information au sein de l'entreprise (mise en place d'annuaire d'experts et de compétences, moteur de recherche...),Développer des réseaux de contributeurs et des communautés de pratiques et inciter les collaborateurs à la production,Former les utilisateurs et les accompagner dans l'utilisation des outils de Knowledge Management,Mettre en place et suivre des indicateurs de performance du système et des processus de Knowledge Management,Assurer une veille technologique,Promouvoir la capitalisation et les connaissances partagées auprès des collaborateurs de l'entreprise","[{'name': '1-9 salariés', 'value': 3}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 5}, {'name': '250 salariés et plus', 'value': 10}, {'name': 'non renseigné', 'value': 3}]"
Ressources Humaines,"Elaborer et mettre en oeuvre la stratégie du Knowledge Management de l'entreprise. ,Evaluer et cartographier les savoirs et connaissances de l'entreprise,Identifier les outils répondant aux besoins de l'entreprise, définir les fonctionnalités attendues et procéder à leur déploiement,Promouvoir le partage, l'échange et l'intégration des connaissances en renforçant le lien entre les processus de partage et les systèmes d'information au sein de l'entreprise (mise en place d'annuaire d'experts et de compétences, moteur de recherche...),Développer des réseaux de contributeurs et des communautés de pratiques et inciter les collaborateurs à la production,Former les utilisateurs et les accompagner dans l'utilisation des outils de Knowledge Management,Mettre en place et suivre des indicateurs de performance du système et des processus de Knowledge Management,Assurer une veille technologique,Promouvoir la capitalisation et les connaissances partagées auprès des collaborateurs de l'entreprise","[{'name': '1-9 salariés', 'value': 3}, {'name': '10-49 salariés', 'value': 4}, {'name': '50 salariés et plus', 'value': 5}, {'name': '250 salariés et plus', 'value': 10}, {'name': 'non renseigné', 'value': 3}]"
Administration et Finances,"Analyser et cartographier les risques,Définir la politique de risque de l'entreprise,Définir et optimiser le dispositif de gestion de risques et l'adapter en permanence suivant les évolutions du profil de risques de l'entreprise,Déployer les plans de prévention et suivre leurs réalisations,Gérer les assurances (achats, relations avec les courtiers, gestion des sinistres),Piloter son activité (documentation de référence, animation, audit, reporting","[{'name': 'sans salariés', 'value': 5}, {'name': '1-9 salariés', 'value': 33}, {'name': '10-49 salariés', 'value': 16}, {'name': '50 salariés et plus', 'value': 13}, {'name': '250 salariés et plus', 'value': 24}, {'name': 'non renseigné', 'value': 12}]"
Coordination Projets,"Identifier les risques encourus (financiers, matériels, techniques, fonctionnels, opérationnels, humains...) durant les différentes phases du déroulement du projet (exploitation de la documentation disponible relative au projet, organisation de réunions de brainstorming, retours d'expérience de projets antérieurs...),Evaluer (qualitativement et quantitativement) et prioriser les risques ayant un impact important sur le projet. ,Planifier et mettre en place des démarches et actions préventives et curatives,Assurer le reporting et animer les réunions avec les différents acteurs du projet sur les risques et l'avancement des plans d'action,Tenir la liste des risques et des actions d'optimisation tout au long du projet,Alimenter régulièrement les outils et tableaux de bord utiles à la surveillance des risques","[{'name': '1-9 salariés', 'value': 5}, {'name': '10-49 salariés', 'value': 12}, {'name': '50 salariés et plus', 'value': 8}, {'name': '250 salariés et plus', 'value': 11}]"
Coordination Projets,"Identifier les risques encourus (financiers, matériels, techniques, fonctionnels, opérationnels, humains...) durant les différentes phases du déroulement du projet (exploitation de la documentation disponible relative au projet, organisation de réunions de brainstorming, retours d'expérience de projets antérieurs...),Evaluer (qualitativement et quantitativement) et prioriser les risques ayant un impact important sur le projet. ,Planifier et mettre en place des démarches et actions préventives et curatives,Assurer le reporting et animer les réunions avec les différents acteurs du projet sur les risques et l'avancement des plans d'action,Tenir la liste des risques et des actions d'optimisation tout au long du projet,Alimenter régulièrement les outils et tableaux de bord utiles à la surveillance des risques","[{'name': '1-9 salariés', 'value': 5}, {'name': '10-49 salariés', 'value': 12}, {'name': '50 salariés et plus', 'value': 8}, {'name': '250 salariés et plus', 'value': 11}]"
Pilotage opérationnel,"Participer et s'engager dans l'élaboration du contrat de services ,Définir le contenu et les modalités de mise en oeuvre de services à travers les descriptifs des SLA et SLR ,Veiller à la prise en compte des évènements pouvant impacter le contrat de services tout au long de son cycle de vie ,Prendre la responsabilité de l'élaboration des plans de progrès et formuler les plans d'actions ,S'assurer de l'impact de tout changement sur le niveau de service, particulièrement sur les engagements de niveau de service et sur les accords opérationnels (interne et sous-traitance) ,Analyser et évaluer les résultats des indicateurs et proposer des plans d'actions ,Assurer le reporting client ,Suivre le budget du contrat de services ,Piloter la contractualisation des contrats de sous-traitance","[{'name': 'sans salariés', 'value': 21}, {'name': '1-9 salariés', 'value': 187}, {'name': '10-49 salariés', 'value': 129}, {'name': '50 salariés et plus', 'value': 103}, {'name': '250 salariés et plus', 'value': 140}, {'name': 'non renseigné', 'value': 85}]"
Pilotage opérationnel,"Participer et s'engager dans l'élaboration du contrat de services ,Définir le contenu et les modalités de mise en oeuvre de services à travers les descriptifs des SLA et SLR ,Veiller à la prise en compte des évènements pouvant impacter le contrat de services tout au long de son cycle de vie ,Prendre la responsabilité de l'élaboration des plans de progrès et formuler les plans d'actions ,S'assurer de l'impact de tout changement sur le niveau de service, particulièrement sur les engagements de niveau de service et sur les accords opérationnels (interne et sous-traitance) ,Analyser et évaluer les résultats des indicateurs et proposer des plans d'actions ,Assurer le reporting client ,Suivre le budget du contrat de services ,Piloter la contractualisation des contrats de sous-traitance","[{'name': 'sans salariés', 'value': 21}, {'name': '1-9 salariés', 'value': 187}, {'name': '10-49 salariés', 'value': 129}, {'name': '50 salariés et plus', 'value': 103}, {'name': '250 salariés et plus', 'value': 140}, {'name': 'non renseigné', 'value': 85}]"
Conception,"Analyser le besoin client et s'approprier son univers graphique,Concevoir et penser le site web sur la base de la demande du client (structure du site, ergonomie, storyboard...),Réaliser la maquette du site : position des éléments, arborescence, architecture interactionnelle...,Etablir la charte graphique du site et assurer le suivi de la réalisation des éléments graphiques (illustrations, pictogrammes) en lien avec le client","[{'name': 'sans salariés', 'value': 19}, {'name': '1-9 salariés', 'value': 246}, {'name': '10-49 salariés', 'value': 136}, {'name': '50 salariés et plus', 'value': 249}, {'name': '250 salariés et plus', 'value': 182}, {'name': 'non renseigné', 'value': 77}]"
Conception,"Analyser le besoin client et s'approprier son univers graphique,Concevoir et penser le site web sur la base de la demande du client (structure du site, ergonomie, storyboard...),Réaliser la maquette du site : position des éléments, arborescence, architecture interactionnelle...,Etablir la charte graphique du site et assurer le suivi de la réalisation des éléments graphiques (illustrations, pictogrammes) en lien avec le client","[{'name': 'sans salariés', 'value': 19}, {'name': '1-9 salariés', 'value': 246}, {'name': '10-49 salariés', 'value': 136}, {'name': '50 salariés et plus', 'value': 249}, {'name': '250 salariés et plus', 'value': 182}, {'name': 'non renseigné', 'value': 77}]"
Communication et Marketing,"Participer à la conception du site internet / intranet (éventuellement à travers la rédaction d'un cahier de charges),Recenser et analyser les besoins des utilisateurs et leur évolution. Programmer la maintenance évolutive en lien avec ces besoins.,Tester et lancer le site, ses nouvelles pages ou ses nouvelles fonctionnalités. Suivre les actions de maintenance corrective.,Organiser et participer à la création du contenu éditorial (intégrer des textes, images, vidéos..., rédiger des newsletters, des notices d’utilisation...),Corriger et optimiser le contenu, les fonctionnalités et l'interface graphique du site en fonction de ces besoins ,Animer le site et implémenter des méthodes et outils afin d'améliorer son référencement","[{'name': 'sans salariés', 'value': 3}, {'name': '1-9 salariés', 'value': 33}, {'name': '10-49 salariés', 'value': 20}, {'name': '50 salariés et plus', 'value': 31}, {'name': '250 salariés et plus', 'value': 31}, {'name': 'non renseigné', 'value': 22}]"
Communication et Marketing,"Participer à la conception du site internet / intranet (éventuellement à travers la rédaction d'un cahier de charges),Recenser et analyser les besoins des utilisateurs et leur évolution. Programmer la maintenance évolutive en lien avec ces besoins.,Tester et lancer le site, ses nouvelles pages ou ses nouvelles fonctionnalités. Suivre les actions de maintenance corrective.,Organiser et participer à la création du contenu éditorial (intégrer des textes, images, vidéos..., rédiger des newsletters, des notices d’utilisation...),Corriger et optimiser le contenu, les fonctionnalités et l'interface graphique du site en fonction de ces besoins ,Animer le site et implémenter des méthodes et outils afin d'améliorer son référencement","[{'name': 'sans salariés', 'value': 3}, {'name': '1-9 salariés', 'value': 33}, {'name': '10-49 salariés', 'value': 20}, {'name': '50 salariés et plus', 'value': 31}, {'name': '250 salariés et plus', 'value': 31}, {'name': 'non renseigné', 'value': 22}]"
Mise en production / Exploitation Probatoire,"Concevoir et spécifier les paramètres et l'architecture de la base de données en lien avec l'architecte SI (structure, paramètres, modélisation),Administrer la base de données (suivi de la qualité des données, suivi du niveau de service, gestion des accès utilisateurs et de la sécurité),Gérer les évolutions, migrations et back up dont la recette.,Mettre à jour les documents d'exploitation,Assurer un support technique aux utilisateurs et aux équipes de développement,Garantir auprès des utilisateurs internes et externes la confidentialité, l'intégrité et la disponibilité des données","[{'name': 'sans salariés', 'value': 3}, {'name': '1-9 salariés', 'value': 10}, {'name': '10-49 salariés', 'value': 10}, {'name': '50 salariés et plus', 'value': 50}, {'name': '250 salariés et plus', 'value': 15}, {'name': 'non renseigné', 'value': 9}]"
Mise en production / Exploitation Probatoire,"Concevoir et spécifier les paramètres et l'architecture de la base de données en lien avec l'architecte SI (structure, paramètres, modélisation),Administrer la base de données (suivi de la qualité des données, suivi du niveau de service, gestion des accès utilisateurs et de la sécurité),Gérer les évolutions, migrations et back up dont la recette.,Mettre à jour les documents d'exploitation,Assurer un support technique aux utilisateurs et aux équipes de développement,Garantir auprès des utilisateurs internes et externes la confidentialité, l'intégrité et la disponibilité des données","[{'name': 'sans salariés', 'value': 3}, {'name': '1-9 salariés', 'value': 10}, {'name': '10-49 salariés', 'value': 10}, {'name': '50 salariés et plus', 'value': 50}, {'name': '250 salariés et plus', 'value': 15}, {'name': 'non renseigné', 'value': 9}]"
Mise en production / Exploitation Probatoire,"Analyser la mise en production des ressources de l’informatique,Elaborer et suivre les contrats de service avec les utilisateurs ,Mettre en production les nouvelles ressources de l’informatique : installer, configurer les équipements informatiques,Développer et mettre en œuvre des automatisations de procédures,Maintenir les conditions générales de production et de service (résolution d'incidents sur son domaine technique),Administrer et optimiser les ressources de l’informatique,Vérifier le bon fonctionnement avec les autres briques techniques et fonctionnelles","[{'name': 'sans salariés', 'value': 16}, {'name': '1-9 salariés', 'value': 328}, {'name': '10-49 salariés', 'value': 219}, {'name': '50 salariés et plus', 'value': 414}, {'name': '250 salariés et plus', 'value': 358}, {'name': 'non renseigné', 'value': 122}]"
Mise en production / Exploitation Probatoire,"Analyser la mise en production des ressources de l’informatique,Elaborer et suivre les contrats de service avec les utilisateurs ,Mettre en production les nouvelles ressources de l’informatique : installer, configurer les équipements informatiques,Développer et mettre en œuvre des automatisations de procédures,Maintenir les conditions générales de production et de service (résolution d'incidents sur son domaine technique),Administrer et optimiser les ressources de l’informatique,Vérifier le bon fonctionnement avec les autres briques techniques et fonctionnelles","[{'name': 'sans salariés', 'value': 16}, {'name': '1-9 salariés', 'value': 328}, {'name': '10-49 salariés', 'value': 219}, {'name': '50 salariés et plus', 'value': 414}, {'name': '250 salariés et plus', 'value': 358}, {'name': 'non renseigné', 'value': 122}]"
Ouverture de la Manifestation,"Accueillir les visiteurs et/ou les prestataires et les orienter,Renseigner une personne sur l’ensemble du parc,Renseigner les visiteurs sur les manifestations,Contrôler l'accès (type de public, billets ou droits d'accès...),Répondre au téléphone et informer ou rediriger les personnes appelant,Gérer le petit matériel nécessaire au fonctionnement du bureau d'accueil","[{'name': '1-9 salariés', 'value': 16}, {'name': '10-49 salariés', 'value': 36}, {'name': '50 salariés et plus', 'value': 4}, {'name': '250 salariés et plus', 'value': 3}, {'name': 'non renseigné', 'value': 21}]"
Ouverture de la Manifestation,"Accueillir les visiteurs et/ou les prestataires et les orienter,Renseigner une personne sur l’ensemble du parc,Renseigner les visiteurs sur les manifestations,Contrôler l'accès (type de public, billets ou droits d'accès...),Répondre au téléphone et informer ou rediriger les personnes appelant,Gérer le petit matériel nécessaire au fonctionnement du bureau d'accueil","[{'name': '1-9 salariés', 'value': 16}, {'name': '10-49 salariés', 'value': 36}, {'name': '50 salariés et plus', 'value': 4}, {'name': '250 salariés et plus', 'value': 3}, {'name': 'non renseigné', 'value': 21}]"
Montage / Démontage,"Monter et démonter des installations simples,Modifier l’agencement des salles et des espaces (chaises, tables, mobilier) selon les fiches techniques,Poser le mobilier,Poser de la moquette, tissu, signalétique,Installer des décorations et plantes,Participer au stockage/déstockage du mobilier,Préparer le matériel,Entretenir le matériel","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 5}, {'name': '10-49 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 2}]"
Montage / Démontage,"Monter et démonter des installations simples,Modifier l’agencement des salles et des espaces (chaises, tables, mobilier) selon les fiches techniques,Poser le mobilier,Poser de la moquette, tissu, signalétique,Installer des décorations et plantes,Participer au stockage/déstockage du mobilier,Préparer le matériel,Entretenir le matériel","[{'name': 'sans salariés', 'value': 1}, {'name': '1-9 salariés', 'value': 5}, {'name': '10-49 salariés', 'value': 2}, {'name': '50 salariés et plus', 'value': 1}, {'name': 'non renseigné', 'value': 2}]"
Montage / Démontage,"Déployer les actions de prévention des incendies,Sensibiliser les employés en matières de sécurité incendie,Intervenir en cas de sinistre (alert et accueil des secours, évacuation du public, assistance aux personnes)","[{'name': 'non renseigné', 'value': 1}]"
Montage / Démontage,"Déployer les actions de prévention des incendies,Sensibiliser les employés en matières de sécurité incendie,Intervenir en cas de sinistre (alert et accueil des secours, évacuation du public, assistance aux personnes)","[{'name': 'non renseigné', 'value': 1}]"
Services Généraux,"Vérifier le fonctionnement des équipements techniques (ascenseur, chauffage, ampoules...) et en assurer la maintenance en coordination si nécessaire avec des prestataires externes,Gérer les commandes et le courrier et traiter les livraisons,Réaliser des opérations logistiques à la demande ,Surveiller la sécurité des biens, des locaux et des personnes,Intervenir en cas de plan d’urgence et de secours et mettre en oeuvre les consignes prévues à cet effet,Nettoyer les locaux de l’entreprise dans le respect des protocoles établis et évacuer les déchets,Alerter et activer le processus d'escalade en cas de problèmes","[{'name': 'sans salariés', 'value': 17}, {'name': '1-9 salariés', 'value': 192}, {'name': '10-49 salariés', 'value': 93}, {'name': '50 salariés et plus', 'value': 109}, {'name': '250 salariés et plus', 'value': 360}, {'name': 'non renseigné', 'value': 99}]"
Services Généraux,"Vérifier le fonctionnement des équipements techniques (ascenseur, chauffage, ampoules...) et en assurer la maintenance en coordination si nécessaire avec des prestataires externes,Gérer les commandes et le courrier et traiter les livraisons,Réaliser des opérations logistiques à la demande ,Surveiller la sécurité des biens, des locaux et des personnes,Intervenir en cas de plan d’urgence et de secours et mettre en oeuvre les consignes prévues à cet effet,Nettoyer les locaux de l’entreprise dans le respect des protocoles établis et évacuer les déchets,Alerter et activer le processus d'escalade en cas de problèmes","[{'name': 'sans salariés', 'value': 17}, {'name': '1-9 salariés', 'value': 192}, {'name': '10-49 salariés', 'value': 93}, {'name': '50 salariés et plus', 'value': 109}, {'name': '250 salariés et plus', 'value': 360}, {'name': 'non renseigné', 'value': 99}]"
Conception,"Concevoir et réaliser des architectures systèmes et logicielles complexes,Analyser les architectures logicielles existantes et formuler des recommandations stratégiques dans le cadre de leur refonte,Réaliser une veille technologique permanente,Réaliser la cartographie applicative du système ou de la solution,Conseiller les équipes de développement et leur communiquer les règles et les standards d'architecture définis","[{'name': 'sans salariés', 'value': 27}, {'name': '1-9 salariés', 'value': 338}, {'name': '10-49 salariés', 'value': 224}, {'name': '50 salariés et plus', 'value': 573}, {'name': '250 salariés et plus', 'value': 362}, {'name': 'non renseigné', 'value': 138}]"
Exploitation / Amélioration Continue,"Piloter toutes les opérations courantes nécessaires au bon fonctionnement des infrastructures informatiques,Surveiller et contrôler le bon déroulement des opérations d'exploitation,Détecter les incidents et mettre en oeuvre une résolution de premier niveau ou escalader conformément aux procédures définies au préalable,Coordonner les différents intervenants,S'assurer du respect du contrat de service","[{'name': '1-9 salariés', 'value': 24}, {'name': '10-49 salariés', 'value': 25}, {'name': '50 salariés et plus', 'value': 75}, {'name': '250 salariés et plus', 'value': 53}, {'name': 'non renseigné', 'value': 20}]"
Développement et tests,"Analyser et évaluer les exigences utilisateurs, les spécifications et les modules,Participer à la stratégie et à la conception des tests,Réceptionner les environnements de tests,Elaborer et mettre en place les outils de tests,Créer les données de tests, écrire les procédures,Exécuter les cas de tests, soit manuellement, soit en utilisant des outils d’exécution de tests,Consigner les résultats de l’exécution des tests,Participer à l’écriture du rapport de synthèse,Suivre les anomalies","[{'name': 'sans salariés', 'value': 9}, {'name': '1-9 salariés', 'value': 192}, {'name': '10-49 salariés', 'value': 135}, {'name': '50 salariés et plus', 'value': 271}, {'name': '250 salariés et plus', 'value': 316}, {'name': 'non renseigné', 'value': 126}]"
Développement et tests,"Analyser et évaluer les exigences utilisateurs, les spécifications et les modules,Participer à la stratégie et à la conception des tests,Réceptionner les environnements de tests,Elaborer et mettre en place les outils de tests,Créer les données de tests, écrire les procédures,Exécuter les cas de tests, soit manuellement, soit en utilisant des outils d’exécution de tests,Consigner les résultats de l’exécution des tests,Participer à l’écriture du rapport de synthèse,Suivre les anomalies","[{'name': 'sans salariés', 'value': 9}, {'name': '1-9 salariés', 'value': 192}, {'name': '10-49 salariés', 'value': 135}, {'name': '50 salariés et plus', 'value': 271}, {'name': '250 salariés et plus', 'value': 316}, {'name': 'non renseigné', 'value': 126}]"
Exploitation / Amélioration Continue,"Piloter toutes les opérations courantes nécessaires au bon fonctionnement des infrastructures informatiques,Surveiller et contrôler le bon déroulement des opérations d'exploitation,Détecter les incidents et mettre en oeuvre une résolution de premier niveau ou escalader conformément aux procédures définies au préalable,Coordonner les différents intervenants,S'assurer du respect du contrat de service","[{'name': '1-9 salariés', 'value': 24}, {'name': '10-49 salariés', 'value': 25}, {'name': '50 salariés et plus', 'value': 75}, {'name': '250 salariés et plus', 'value': 53}, {'name': 'non renseigné', 'value': 20}]"
